t;max_slip_rate;moment_rate
0.45086764524617E+02;0.1763813E-01;0.8547779E+19
0.45124639337856E+02;0.1868285E-01;0.8587569E+19
0.45162793214165E+02;0.1911819E-01;0.8627161E+19
0.45200997195512E+02;0.1951860E-01;0.8666761E+19
0.45238849433591E+02;0.1924016E-01;0.8706223E+19
0.45277080330001E+02;0.2039530E-01;0.8746479E+19
0.45314662220309E+02;0.2198776E-01;0.8786756E+19
0.45352293483706E+02;0.2250549E-01;0.8828101E+19
0.45390030004971E+02;0.2293914E-01;0.8870607E+19
0.45427683456991E+02;0.2312034E-01;0.8913491E+19
0.45465199722421E+02;0.2316078E-01;0.8955595E+19
0.45502908802898E+02;0.2515376E-01;0.8996570E+19
0.45540045478031E+02;0.2583876E-01;0.9036080E+19
0.45577216657279E+02;0.2626063E-01;0.9075844E+19
0.45614386199248E+02;0.2665138E-01;0.9116461E+19
0.45651441242885E+02;0.2612427E-01;0.9157800E+19
0.45688778077881E+02;0.2790328E-01;0.9200119E+19
0.45725504891054E+02;0.2907089E-01;0.9242293E+19
0.45762503725513E+02;0.2953030E-01;0.9285282E+19
0.45799459451595E+02;0.2998245E-01;0.9328527E+19
0.45836250984425E+02;0.2999222E-01;0.9371331E+19
0.45873111061345E+02;0.3043843E-01;0.9413425E+19
0.45909627031551E+02;0.3215662E-01;0.9454384E+19
0.45946209860829E+02;0.3275497E-01;0.9495371E+19
0.45982936582946E+02;0.3320311E-01;0.9537163E+19
0.46019646803049E+02;0.3351105E-01;0.9579697E+19
0.46055939182749E+02;0.3321177E-01;0.9622255E+19
0.46092702835095E+02;0.3501518E-01;0.9665839E+19
0.46128757941531E+02;0.3590688E-01;0.9709264E+19
0.46164838041055E+02;0.3636277E-01;0.9753338E+19
0.46200994375844E+02;0.3678354E-01;0.9797424E+19
0.46237036341878E+02;0.3650076E-01;0.9840344E+19
0.46273234929202E+02;0.3749011E-01;0.9881928E+19
0.46308926002989E+02;0.3890482E-01;0.9921616E+19
0.46344738525750E+02;0.3947144E-01;0.9960880E+19
0.46380595621494E+02;0.3991942E-01;0.1000048E+20
0.46416353678962E+02;0.4000654E-01;0.1004059E+20
0.46452002498418E+02;0.4031743E-01;0.1008109E+20
0.46487692359367E+02;0.4175262E-01;0.1012200E+20
0.46523134734550E+02;0.4249618E-01;0.1016285E+20
0.46558908144549E+02;0.4297301E-01;0.1020396E+20
0.46594590285477E+02;0.4326690E-01;0.1024425E+20
0.46629858828849E+02;0.4303233E-01;0.1028293E+20
0.46665441297687E+02;0.4420343E-01;0.1032093E+20
0.46700455605360E+02;0.4538770E-01;0.1035770E+20
0.46735637387403E+02;0.4595145E-01;0.1039440E+20
0.46770838340735E+02;0.4632882E-01;0.1043096E+20
0.46805885642158E+02;0.4606089E-01;0.1046695E+20
0.46840992562385E+02;0.4708149E-01;0.1050224E+20
0.46875795542793E+02;0.4818208E-01;0.1053632E+20
0.46910570213471E+02;0.4882084E-01;0.1056950E+20
0.46945356446528E+02;0.4925497E-01;0.1060167E+20
0.46980193339740E+02;0.4926575E-01;0.1063234E+20
0.47014864756759E+02;0.4981653E-01;0.1066076E+20
0.47049657671731E+02;0.5052273E-01;0.1068736E+20
0.47084051755076E+02;0.5152128E-01;0.1071259E+20
0.47118603113635E+02;0.5206418E-01;0.1073766E+20
0.47153119671405E+02;0.5223610E-01;0.1076289E+20
0.47187449451504E+02;0.5249523E-01;0.1078822E+20
0.47222556936215E+02;0.5329409E-01;0.1081407E+20
0.47256684322320E+02;0.5427339E-01;0.1083884E+20
0.47290859863348E+02;0.5473905E-01;0.1086320E+20
